service_name|service_ip|service_open_port|service_selector|pod_name|pod_ip|ec2-internal-ip|pod_ports_for_service
access-control-service|10.3.91.214|5678/TCP|app=access-control|access-control-78c6d875b8-rk98n|10.2.236.15|ip-10.20.9.44.ec2.internal|10.2.236.15:5678
acl-manager-service|10.3.252.133|39443/TCP,39442/TCP|app=acl-manager|acl-manager-867cc96fcc-d2p49|10.2.236.16|ip-10.20.9.44.ec2.internal|10.2.236.16:39442,10.2.236.16:39443
auth-v2-service|10.3.12.74|443/TCP|app=auth-v2|auth-v2-74df99ddbc-89jwg|10.2.152.170|ip-10.20.10.162.ec2.internal|10.2.152.170:443
automl-service|10.3.149.224|5678/TCP|app=automl|automl-895b5bb78-pxlxn|10.2.211.116|ip-10.20.11.81.ec2.internal|10.2.211.116:5678
billing-ingester-messaging-client-service|10.3.134.96|4678/TCP|app=billing-ingester|billing-ingester-5584b47b6c-fbn2d|10.2.61.248|ip-10.20.11.150.ec2.internal|10.2.61.248:4678
billing-ingester-service|10.3.105.223|5678/TCP|app=billing-ingester|billing-ingester-5584b47b6c-fbn2d|10.2.61.248|ip-10.20.11.150.ec2.internal|10.2.61.248:5678
cloudmock-messaging-client-service|10.3.169.207|4678/TCP|app=cloudmock|cloudmock-794bc6696b-h2lkv|10.2.12.179|ip-10.20.11.183.ec2.internal|10.2.12.179:4678
cloudmock-service|10.3.104.248|18426/TCP,18400/TCP|app=cloudmock|cloudmock-794bc6696b-h2lkv|10.2.12.179|ip-10.20.11.183.ec2.internal|10.2.12.179:18426,10.2.12.179:18400
cluster-events-messaging-client-service|10.3.251.178|4678/TCP|app=cluster-events|cluster-events-5b4fdfb55d-z57mw|10.2.179.8|ip-10.20.9.223.ec2.internal|10.2.179.8:4678
cluster-events-service|10.3.251.40|18888/TCP|app=cluster-events|cluster-events-5b4fdfb55d-z57mw|10.2.179.8|ip-10.20.9.223.ec2.internal|10.2.179.8:18888
cluster-identity-messaging-client-service|10.3.64.127|4678/TCP|app=cluster-identity|cluster-identity-7dc49d5fc4-fmq7f|10.2.12.180|ip-10.20.11.183.ec2.internal|10.2.12.180:4678
cluster-identity-service|10.3.111.170|9900/TCP|app=cluster-identity|cluster-identity-7dc49d5fc4-fmq7f|10.2.12.180|ip-10.20.11.183.ec2.internal|10.2.12.180:9900
cluster-libraries-messaging-client-service|10.3.217.120|4678/TCP|app=cluster-libraries|cluster-libraries-89855b5cc-zjv9z|10.2.61.249|ip-10.20.11.150.ec2.internal|10.2.61.249:4678
cluster-libraries-service|10.3.192.74|61801/TCP|app=cluster-libraries|cluster-libraries-89855b5cc-zjv9z|10.2.61.249|ip-10.20.11.150.ec2.internal|10.2.61.249:61801
cluster-manager-k8s-messaging-client-service|10.3.226.179|4678/TCP|app=cluster-manager-k8s|cluster-manager-k8s-57f4d497bc-k6m4c|10.2.236.17|ip-10.20.9.44.ec2.internal|10.2.236.17:4678
cluster-manager-k8s-service|10.3.198.220|10086/TCP|app=cluster-manager-k8s|cluster-manager-k8s-57f4d497bc-k6m4c|10.2.236.17|ip-10.20.9.44.ec2.internal|10.2.236.17:10086
cluster-metrics-messaging-client-service|10.3.211.37|4678/TCP|app=cluster-metrics|cluster-metrics-6865bbf9f5-4z994|10.2.179.9|ip-10.20.9.223.ec2.internal|10.2.179.9:4678
cluster-metrics-service|10.3.81.70|5678/TCP|app=cluster-metrics|cluster-metrics-6865bbf9f5-4z994|10.2.179.9|ip-10.20.9.223.ec2.internal|10.2.179.9:5678
cluster-monitor-headless-service|None|25936/TCP|app=cluster-monitor|cluster-monitor-0|10.2.62.1|ip-10.20.11.150.ec2.internal|10.2.62.1:25936
cluster-monitor-messaging-client-service|10.3.196.95|4678/TCP|app=cluster-monitor|cluster-monitor-0|10.2.62.1|ip-10.20.11.150.ec2.internal|10.2.62.1:4678
clusters-database-monitor-messaging-client-service|10.3.35.102|4678/TCP|app=clusters-database-monitor|clusters-database-monitor-56c5f797c7-t5d22|10.2.191.185|ip-10.20.9.181.ec2.internal|10.2.191.185:4678
clusters-database-monitor-service|10.3.229.251|20402/TCP|app=clusters-database-monitor|clusters-database-monitor-56c5f797c7-t5d22|10.2.191.185|ip-10.20.9.181.ec2.internal|10.2.191.185:20402
cmapiserver-messaging-client-service|10.3.204.58|4678/TCP|app=cmapiserver|cmapiserver-695cbbc467-zjddt|10.2.211.117|ip-10.20.11.81.ec2.internal|10.2.211.117:4678
cmapiserver-service|10.3.204.127|6666/TCP|app=cmapiserver|cmapiserver-695cbbc467-zjddt|10.2.211.117|ip-10.20.11.81.ec2.internal|10.2.211.117:5050
cons-auth|10.3.12.57|443/TCP,5290/TCP,6000/TCP|app=auth|auth-c5944fbbf-cktr8|10.2.152.169|ip-10.20.10.162.ec2.internal|10.2.152.169:5290,10.2.152.169:443,10.2.152.169:6000
cons-auth-high-qps|10.3.222.192|443/TCP|app=auth-high-qps|auth-high-qps-6c786dd5b9-9wvj9|10.2.191.184|ip-10.20.9.181.ec2.internal|10.2.191.184:443
cons-delegate|10.3.42.100|5555/TCP|app=cons-delegate|cons-delegate-76586f55c-b6g62|10.2.152.171|ip-10.20.10.162.ec2.internal|10.2.152.171:5555
cons-jobs-pxy|10.3.215.246|4321/TCP|app=cons-jobs-proxy|cons-jobs-proxy-77dc498f9d-48v99|10.2.211.118|ip-10.20.11.81.ec2.internal|10.2.211.118:443
cons-jobs-rep|None|80/TCP|app=cons-jobs|cons-jobs-0|10.2.62.2|ip-10.20.11.150.ec2.internal|10.2.62.2:80
